cohort,method,queries,psnr_db,ssim,lpips,common_ADE_px,natural_ADE_px,final_FDE_px,common_final_FDE_px,paired_coverage,common_coverage,final_valid_queries
test/soft-1r,stage1,2,30.933876301984885,0.9572094175387813,0.09143507673538157,35.397148467241706,36.714166358111264,39.90751801988179,39.90751801988179,1.0,0.9821428571428571,2
test/soft-1r,ours,2,31.086339999504993,0.9577318102287178,0.09044314195801105,32.99521901358118,32.99521901358118,31.21283651301191,31.21283651301191,0.9821428571428571,0.9821428571428571,2
test/soft-1r,dino,2,32.47273622928448,0.9628319625676335,0.0775962194560894,26.34955085684536,26.34955085684536,18.946852462092263,18.946852462092263,0.9821428571428571,0.9821428571428571,2
test/soft-2l,standard,2,33.53820519298729,0.9647699091432069,0.06429179046036941,20.757528057372177,20.757528057372177,40.415485916392456,40.415485916392456,1.0,1.0,2
test/soft-2l,stage1,2,33.6143853657624,0.9633036371204295,0.06472662633417972,15.12555367148654,15.12555367148654,14.234653855834459,14.234653855834459,1.0,1.0,2
test/soft-2l,ours,2,33.62870930941226,0.9633086589096143,0.06489395962229796,14.974181222640397,14.974181222640397,14.489601968218885,14.489601968218885,1.0,1.0,2
test/soft-2l,dino,2,34.04847262354177,0.9662578517134126,0.06231040906693254,23.655870132875,23.655870132875,34.7986398487919,34.7986398487919,1.0,1.0,2
test/soft-2m,standard,2,33.778936714705296,0.965213079992317,0.0663143956501569,17.779639746336297,17.779639746336297,54.896314390860034,54.896314390860034,1.0,1.0,2
test/soft-2m,stage1,2,33.948607291879995,0.9641551100517063,0.06438794000340359,7.245888954283397,7.245888954283397,11.647674824822143,11.647674824822143,1.0,1.0,2
test/soft-2m,ours,2,34.232716147817854,0.9643152214036852,0.06273791333660483,6.559543424858607,6.559543424858607,10.92139787161209,10.92139787161209,1.0,1.0,2
test/soft-2m,dino,2,35.32070136180511,0.9692268057786184,0.0545497230653252,8.323666234223126,8.323666234223126,31.479248529941756,31.479248529941756,1.0,1.0,2
test/soft-4l,standard,2,33.503861486182664,0.9658991632681646,0.061511024100972075,11.886631904237696,11.744510798115616,34.338330424642415,34.338330424642415,0.9821428571428571,0.9285714285714286,2
test/soft-4l,stage1,2,31.906703882762926,0.959436762559875,0.08675281364204629,32.38382364013961,32.95062914427389,71.88748426086869,71.88748426086869,0.9821428571428571,0.9285714285714286,2
test/soft-4l,ours,2,31.64237592270289,0.9591980614043187,0.08790870143898896,33.08222572469197,33.08222572469197,70.27432355275829,70.27432355275829,0.9285714285714286,0.9285714285714286,2
test/soft-4l,dino,2,33.45830027309748,0.9656542811834645,0.06701204080932907,17.73136118633756,17.650460026803493,40.67384189844288,40.67384189844288,0.9821428571428571,0.9285714285714286,2
test/soft-5r,standard,2,32.88158516399365,0.9670914556636048,0.08471473050303757,38.517448223590364,38.517448223590364,29.42929048660225,29.42929048660225,1.0,1.0,2
test/soft-5r,stage1,2,32.29592730149432,0.9645976814852126,0.07670256182817475,16.58021676856404,16.58021676856404,18.854591877642704,18.854591877642704,1.0,1.0,2
test/soft-5r,ours,2,32.45797486350982,0.9645388908298873,0.07904655320037689,20.854374090476945,20.854374090476945,19.8929666640091,19.8929666640091,1.0,1.0,2
test/soft-5r,dino,2,34.381194322139194,0.9691590238915354,0.06447810367015856,13.301553079785041,13.301553079785041,16.41167583972602,16.41167583972602,1.0,1.0,2
test/soft-6m,standard,2,33.19301266592431,0.9636960671511343,0.0847161976687078,33.76045871220836,33.76045871220836,76.70360706866593,76.70360706866593,0.9821428571428571,0.9821428571428571,2
test/soft-6m,stage1,2,32.32253592349661,0.960339547382175,0.08531885041988321,25.86493734412776,25.809162687460116,53.69528354854059,53.69528354854059,1.0,0.9821428571428571,2
test/soft-6m,ours,2,32.463169713583184,0.9605005258139216,0.08516572768400822,25.531729032561636,25.47868072777724,53.00019444700317,53.00019444700317,1.0,0.9821428571428571,2
test/soft-6m,dino,2,33.77670035215246,0.9652622957775281,0.06652784081442015,15.784043526840588,15.743543798012233,17.91249418068042,17.91249418068042,1.0,0.9821428571428571,2
test/soft-7r,standard,2,33.780974282808884,0.964620060848349,0.07380661890575928,30.2066091238332,30.2066091238332,91.23755258169815,91.23755258169815,1.0,1.0,2
test/soft-7r,stage1,2,31.790597415887802,0.9579461009131045,0.08968893292226962,38.31641336884982,38.31641336884982,104.52044398111633,104.52044398111633,1.0,1.0,2
test/soft-7r,ours,2,32.426069843638814,0.9584759521217385,0.08699256707248942,37.054880269090546,37.054880269090546,105.5704474655832,105.5704474655832,1.0,1.0,2
test/soft-7r,dino,2,33.03516971872358,0.962240402422601,0.08452776520113861,40.42041358948018,40.42041358948018,94.75554825395663,94.75554825395663,1.0,1.0,2
test/soft-8,standard,2,31.241485751872062,0.9611752477624246,0.10206921491771936,55.93498408556932,56.08778585465772,34.17665580056771,34.17665580056771,0.9821428571428571,0.9642857142857143,2
test/soft-8,stage1,2,31.81013370280275,0.9598931380568467,0.08173889304245158,20.657777635620672,20.64864710417108,34.683169811722564,34.683169811722564,1.0,0.9642857142857143,2
test/soft-8,ours,2,31.93689679024464,0.9599065067341424,0.08235185586714319,21.264491703948305,21.409484838960033,35.96933984992754,35.96933984992754,0.9821428571428571,0.9642857142857143,2
test/soft-8,dino,2,31.670445479923856,0.961394786167452,0.09134397559267068,35.759435203614764,36.518900538012055,33.750323334075276,33.750323334075276,1.0,0.9642857142857143,2
